Longitude,Latitude,HouseAge,AveRooms,AveBedrms,Population,AveOccup,MedInc,ocean_proximity,actual,predicted,residual,abs_error,pct_error,severity
-120.4,37.3,28.0,1401.0,,967.0,257.0,1.5917,,89400.0,350112.95895071025,-260712.95895071025,260712.95895071025,2.916252337256267,severe
-118.18,34.04,42.0,1670.0,,1997.0,452.0,2.788,,150500.0,435806.4585359593,-285306.4585359593,285306.4585359593,1.8957239769831182,severe
-117.22,34.11,26.0,2972.0,,1972.0,532.0,2.0388,,80400.0,449452.596394393,-369052.596394393,369052.596394393,4.590206422815833,severe
-117.91,34.05,35.0,3189.0,,1727.0,500.0,5.0758,,211100.0,308619.6121733335,-97519.61217333347,97519.61217333347,0.4619593186799312,high
-118.36,34.05,42.0,1372.0,,674.0,271.0,2.8793,,202100.0,599074.9640871569,-396974.9640871569,396974.9640871569,1.9642501934050318,severe
-120.93,37.73,14.0,2799.0,,2294.0,596.0,2.6343,,81500.0,369536.4100135138,-288036.4100135138,288036.4100135138,3.5341890799204148,severe
-124.0,40.92,29.0,1429.0,,672.0,266.0,2.9485,,98800.0,278041.0387825787,-179241.03878257872,179241.03878257872,1.8141805544795417,severe
-118.26,33.83,24.0,3059.0,,2064.0,629.0,3.5518,,184600.0,424960.81620095967,-240360.81620095967,240360.81620095967,1.3020629263323926,severe
-122.41,38.16,37.0,1549.0,,863.0,275.0,2.7457,,254700.0,495908.0382158692,-241208.03821586922,241208.03821586922,0.9470280259751441,severe
-121.95,38.03,5.0,5526.0,,3207.0,1012.0,4.0767,,143100.0,311618.2103506359,-168518.21035063593,168518.21035063593,1.1776255090890002,severe
-118.28,34.06,42.0,2472.0,,3795.0,1179.0,1.2254,,162500.0,473454.23617114784,-310954.23617114784,310954.23617114784,1.9135645302839868,severe
-118.17,34.06,43.0,464.0,,416.0,120.0,2.475,,142600.0,498963.9022128764,-356363.9022128764,356363.9022128764,2.4990455975657535,severe
-120.67,40.5,15.0,5343.0,,2503.0,902.0,3.5962,,85900.0,317635.7375519142,-231735.73755191418,231735.73755191418,2.697738504678861,severe
-122.14,37.67,37.0,3342.0,,1635.0,557.0,4.7933,,186900.0,296138.77795844787,-109238.77795844787,109238.77795844787,0.5844771426348201,high
-119.68,36.79,16.0,1551.0,,1010.0,292.0,3.5417,,71300.0,257966.86750310808,-186666.86750310808,186666.86750310808,2.618048632582161,severe
-116.91,32.83,16.0,5203.0,,2515.0,862.0,4.105,,174400.0,340726.1278392109,-166326.1278392109,166326.1278392109,0.9537048614633653,severe
-118.35,33.9,31.0,1547.0,,956.0,287.0,3.4698,,225000.0,446136.06099572254,-221136.06099572254,221136.06099572254,0.9828269377587668,severe
-122.7,38.35,14.0,2313.0,,954.0,397.0,3.7813,,146500.0,362935.5352134045,-216435.5352134045,216435.5352134045,1.4773756669856963,severe
-117.66,33.51,18.0,2626.0,,1302.0,522.0,4.0167,,189600.0,435614.05893714895,-246014.05893714895,246014.05893714895,1.2975425049427687,severe
-118.09,33.89,42.0,991.0,,717.0,219.0,4.0926,,164400.0,384120.8992000404,-219720.89920004038,219720.89920004038,1.336501819951584,severe
-118.46,34.03,52.0,523.0,,317.0,130.0,2.2794,,337500.0,643368.3259596371,-305868.32595963706,305868.32595963706,0.9062765213618876,severe
-119.15,36.29,18.0,1435.0,,657.0,254.0,2.4281,,72500.0,350717.31899338245,-278217.31899338245,278217.31899338245,3.837480261977689,severe
-117.91,33.87,29.0,1121.0,,762.0,276.0,2.5,,143800.0,496977.9140138535,-353177.9140138535,353177.9140138535,2.4560355633786752,severe
-118.27,34.07,27.0,1190.0,,1795.0,422.0,1.7016,,160000.0,480001.88216585526,-320001.88216585526,320001.88216585526,2.0000117635365955,severe
-118.27,34.04,13.0,1784.0,,2158.0,682.0,1.7038,,118100.0,461700.97938133456,-343600.97938133456,343600.97938133456,2.909407107377939,severe
-117.14,33.16,16.0,1660.0,,733.0,214.0,5.6874,,202700.0,278610.4183694852,-75910.41836948518,75910.41836948518,0.3744963905746679,high
-122.72,38.88,29.0,2781.0,,890.0,310.0,1.9906,,96600.0,329525.2622265546,-232925.26222655462,232925.26222655462,2.4112345986185777,severe
-121.47,38.61,31.0,1072.0,,781.0,281.0,1.6563,,65800.0,363701.7008763426,-297901.7008763426,297901.7008763426,4.527381472284842,severe
-119.18,34.19,19.0,2393.0,,1938.0,762.0,1.6953,,167400.0,459950.01553589274,-292550.01553589274,292550.01553589274,1.7476106065465515,severe
-118.59,34.2,21.0,1789.0,,2300.0,677.0,2.754,,179800.0,538525.9148288254,-358725.9148288254,358725.9148288254,1.9951385696820099,severe
-122.22,38.08,37.0,2811.0,,1574.0,516.0,3.1053,,96700.0,414646.46194943914,-317946.46194943914,317946.46194943914,3.2879675485981297,severe
-121.97,37.34,33.0,3162.0,,1553.0,686.0,3.6682,,266100.0,427959.5420323335,-161859.5420323335,161859.5420323335,0.6082658475472886,severe
-117.14,32.71,52.0,500.0,,480.0,108.0,1.8696,,91100.0,413744.59336420865,-322644.59336420865,322644.59336420865,3.541653055589557,severe
-119.75,36.71,38.0,1481.0,,1543.0,372.0,1.4577,,49800.0,342447.7954319752,-292647.7954319752,292647.7954319752,5.876461755662153,severe
-121.3,38.58,16.0,1537.0,,1125.0,375.0,2.6471,,90700.0,364475.5525421696,-273775.5525421696,273775.5525421696,3.0184735671683525,severe
-117.76,34.04,34.0,1914.0,,1564.0,328.0,2.8347,,115800.0,475464.298965133,-359664.298965133,359664.298965133,3.1059093174881953,severe
-122.45,37.77,52.0,2602.0,,1330.0,647.0,3.5435,,278600.0,642391.7088156934,-363791.7088156934,363791.7088156934,1.305785028053458,severe
-117.15,32.72,51.0,1321.0,,781.0,499.0,1.3071,,250000.0,431741.35878024553,-181741.35878024553,181741.35878024553,0.7269654351209821,severe
-122.08,37.88,26.0,2947.0,,825.0,626.0,2.933,,85000.0,472143.92199850647,-387143.92199850647,387143.92199850647,4.554634376453017,severe
-117.87,33.73,45.0,2264.0,,1970.0,499.0,3.4193,,177000.0,471677.81791566516,-294677.81791566516,294677.81791566516,1.664846428902063,severe
-117.67,34.04,13.0,1543.0,,776.0,358.0,3.0598,,99700.0,439543.7865703324,-339843.7865703324,339843.7865703324,3.4086638572751498,severe
-117.66,33.58,6.0,4186.0,,1794.0,541.0,9.6986,,357600.0,428883.87859484315,-71283.87859484315,71283.87859484315,0.19933970524284997,high
-117.27,32.85,26.0,1373.0,,608.0,268.0,4.425,,475000.0,376197.87309442705,98802.12690557295,98802.12690557295,0.20800447769594305,high
-118.05,33.99,38.0,1619.0,,886.0,357.0,3.7328,,182400.0,411582.1882945529,-229182.1882945529,229182.1882945529,1.2564812954745226,severe
-117.92,33.87,33.0,1597.0,,1888.0,423.0,3.055,,157800.0,444314.9039130712,-286514.9039130712,286514.9039130712,1.8156838017304893,severe
-118.31,34.09,37.0,773.0,,835.0,312.0,1.8576,,193800.0,551173.2940058453,-357373.2940058453,357373.2940058453,1.8440314448186033,severe
-118.38,34.05,49.0,702.0,,458.0,187.0,4.8958,,333600.0,450818.35236708843,-117218.35236708843,117218.35236708843,0.3513739579349174,high
-121.95,37.31,27.0,4140.0,,2135.0,893.0,3.6292,,264600.0,419911.69185136113,-155311.69185136113,155311.69185136113,0.5869678452432393,severe
-120.98,37.6,36.0,1437.0,,1073.0,320.0,2.1779,,58400.0,383749.0769107095,-325349.0769107095,325349.0769107095,5.571045837512149,severe
-122.28,37.78,29.0,5154.0,,3741.0,1273.0,2.5762,,173400.0,489021.45100126846,-315621.45100126846,315621.45100126846,1.8201929123487224,severe
-118.23,34.13,48.0,1308.0,,835.0,294.0,4.2891,,214800.0,364007.28529439424,-149207.28529439424,149207.28529439424,0.6946335442010905,severe
-119.11,35.42,52.0,154.0,,37.0,16.0,10.0263,,200000.0,339833.0324594088,-139833.0324594088,139833.0324594088,0.6991651622970441,high
-121.44,38.54,39.0,2855.0,,1217.0,562.0,3.2404,,93600.0,334638.0855956892,-241038.0855956892,241038.0855956892,2.5751932221761664,severe
-118.37,34.03,37.0,1236.0,,966.0,292.0,3.0694,,122200.0,538924.7009998469,-416724.7009998469,416724.7009998469,3.4101857692295163,severe
-118.1,33.91,36.0,726.0,,490.0,130.0,3.6389,,167600.0,399911.2162530081,-232311.2162530081,232311.2162530081,1.3861051089081629,severe
-118.5,34.17,37.0,880.0,,369.0,155.0,4.1429,,303600.0,387144.4133116904,-83544.41331169038,83544.41331169038,0.2751792269818524,high
-122.79,38.48,7.0,6837.0,,3468.0,1405.0,3.1662,,191000.0,402894.19280732336,-211894.19280732336,211894.19280732336,1.109393679619494,severe
-118.31,33.94,40.0,1550.0,,798.0,270.0,3.775,,153800.0,390264.71577352076,-236464.71577352076,236464.71577352076,1.537481897097014,severe
-122.44,37.73,39.0,1912.0,,970.0,406.0,4.7813,,275500.0,347566.5484959183,-72066.54849591828,72066.54849591828,0.2615845680432605,high
-118.32,34.09,44.0,2666.0,,2297.0,726.0,1.676,,208800.0,554634.3521563122,-345834.3521563122,345834.3521563122,1.6562947900206524,severe
-116.93,32.79,19.0,3354.0,,1948.0,682.0,3.0192,,142300.0,364302.2840661934,-222002.2840661934,222002.2840661934,1.5601003799451398,severe
-119.44,36.58,37.0,1054.0,,879.0,257.0,2.5234,,63500.0,358262.6643578933,-294762.6643578933,294762.6643578933,4.641931722171548,severe
-117.3,34.05,6.0,2155.0,,1039.0,391.0,1.6675,,95800.0,456741.54149224015,-360941.54149224015,360941.54149224015,3.7676570093135715,severe
-118.29,33.73,30.0,3161.0,,1865.0,771.0,2.7139,,231700.0,517543.0313982147,-285843.0313982147,285843.0313982147,1.2336773042650613,severe
-118.4,34.17,24.0,6347.0,,2945.0,1492.0,3.3545,,221500.0,525630.0569276506,-304130.0569276506,304130.0569276506,1.3730476610729145,severe
-119.78,36.82,25.0,5016.0,,2133.0,928.0,3.625,,89500.0,273196.0758599317,-183696.0758599317,183696.0758599317,2.052470121340019,severe
-117.73,34.1,37.0,3457.0,,1344.0,530.0,5.8891,,226000.0,308449.5358299151,-82449.53582991508,82449.53582991508,0.36482095499962425,high
-122.5,37.75,45.0,1620.0,,941.0,328.0,4.3859,,270200.0,412928.4876933448,-142728.48769334482,142728.48769334482,0.5282327449790704,severe
-120.32,37.29,38.0,576.0,,478.0,112.0,2.3382,,59600.0,381840.0112079895,-322240.0112079895,322240.0112079895,5.406711597449488,severe
-122.65,38.25,23.0,4030.0,,1852.0,778.0,3.402,,193300.0,399582.9431465141,-206282.94314651412,206282.94314651412,1.0671647343327166,severe
-117.28,34.26,18.0,3895.0,,1086.0,375.0,3.3672,,133600.0,404979.6816969023,-271379.6816969023,271379.6816969023,2.0312850426414846,severe
-122.16,37.77,47.0,1256.0,,570.0,218.0,4.375,,161900.0,258179.96425873163,-96279.96425873163,96279.96425873163,0.594687858299763,high
-119.73,34.44,38.0,1729.0,,801.0,395.0,3.1364,,357500.0,539104.1378457524,-181604.1378457524,181604.1378457524,0.507983602365741,severe
-118.88,34.17,15.0,4260.0,,1701.0,669.0,5.1033,,410700.0,275053.9855011304,135646.0144988696,135646.0144988696,0.3302800450422927,high
-122.15,37.43,20.0,11709.0,,7604.0,3589.0,1.9045,,375000.0,528472.0950775406,-153472.0950775406,153472.0950775406,0.40925892020677496,severe
-117.01,32.74,31.0,3473.0,,2098.0,677.0,2.6973,,135200.0,430379.877349036,-295179.877349036,295179.877349036,2.1832831164869524,severe
-118.21,34.07,52.0,1770.0,,1848.0,439.0,2.4135,,167200.0,513196.59313353343,-345996.59313353343,345996.59313353343,2.0693576144350088,severe
-118.36,34.05,45.0,2283.0,,1093.0,475.0,2.5658,,252000.0,616264.6002115824,-364264.6002115824,364264.6002115824,1.445494445284057,severe
-118.53,34.26,18.0,3674.0,,1590.0,550.0,8.176,,308400.0,399221.88750000135,-90821.88750000135,90821.88750000135,0.2944937986381367,high
-118.19,33.98,36.0,4179.0,,4582.0,1196.0,2.0087,,172100.0,427934.878306186,-255834.878306186,255834.878306186,1.4865478111922488,severe
-122.38,37.73,40.0,543.0,,259.0,89.0,2.2167,,193800.0,491105.5787428452,-297305.5787428452,297305.5787428452,1.5340845136369723,severe
-121.08,39.22,30.0,2188.0,,1033.0,437.0,2.1419,,105200.0,349440.0723873118,-244240.07238731178,244240.07238731178,2.3216736918945986,severe
-117.28,34.09,44.0,376.0,,273.0,107.0,2.2917,,90800.0,483058.38075781736,-392258.38075781736,392258.38075781736,4.32002621979975,severe
-118.29,34.05,34.0,1102.0,,1325.0,439.0,1.5972,,168800.0,482142.42482890235,-313342.42482890235,313342.42482890235,1.856293985953213,severe
-121.33,38.02,31.0,1466.0,,608.0,254.0,3.1827,,162100.0,315549.7637489704,-153449.7637489704,153449.7637489704,0.9466364204131426,severe
-118.05,34.04,33.0,1348.0,,1098.0,257.0,4.2917,,161200.0,357696.56035932276,-196496.56035932276,196496.56035932276,1.21896129255163,severe
-118.16,34.01,40.0,1552.0,,1919.0,427.0,2.2596,,137500.0,482871.6363793785,-345371.6363793785,345371.6363793785,2.511793719122753,severe
-121.9,36.58,31.0,1431.0,,704.0,393.0,3.1977,,289300.0,542561.7010466888,-253261.70104668883,253261.70104668883,0.8754293157507391,severe
-117.92,33.7,15.0,3201.0,,1510.0,622.0,4.2708,,161700.0,353572.1187522858,-191872.11875228578,191872.11875228578,1.1865931895626827,severe
-117.87,33.83,27.0,2287.0,,1140.0,351.0,5.6163,,231000.0,303186.51746582484,-72186.51746582484,72186.51746582484,0.3124957466053023,high
-120.61,37.36,16.0,638.0,,380.0,132.0,1.9135,,87500.0,340055.9470793812,-252555.9470793812,252555.9470793812,2.886353680907214,severe
-118.25,33.95,28.0,2136.0,,1799.0,476.0,1.5427,,95700.0,440472.6622709607,-344772.6622709607,344772.6622709607,3.6026401491218465,severe
-118.07,34.1,32.0,4275.0,,2812.0,1012.0,3.3512,,214100.0,466979.87643870316,-252879.87643870316,252879.87643870316,1.181129735818324,severe
-121.85,36.61,38.0,238.0,,191.0,67.0,1.3897,,125000.0,455670.12893324206,-330670.12893324206,330670.12893324206,2.6453610314659364,severe
-122.42,40.44,16.0,994.0,,495.0,181.0,2.1875,,76400.0,298886.57467830466,-222486.57467830466,222486.57467830466,2.912127940815506,severe
-119.75,34.45,6.0,2864.0,,1404.0,603.0,5.5073,,263800.0,368962.2379685549,-105162.2379685549,105162.2379685549,0.39864381337587146,high
-118.8,34.41,45.0,1610.0,,1148.0,347.0,2.7,,120400.0,507393.629919683,-386993.629919683,386993.629919683,3.2142328066418853,severe
-119.3,36.57,32.0,728.0,,461.0,149.0,3.0156,,109100.0,280627.32802808867,-171527.32802808867,171527.32802808867,1.5722028233555332,severe
-118.55,34.19,18.0,5862.0,,3161.0,1280.0,3.1106,,170600.0,487182.34698563785,-316582.34698563785,316582.34698563785,1.85569957201429,severe
-117.17,32.75,52.0,1052.0,,381.0,201.0,3.0726,,289600.0,473090.44929663476,-183490.44929663476,183490.44929663476,0.6335996177369985,severe
-122.1,40.03,25.0,2516.0,,1266.0,494.0,1.7566,,58400.0,318589.8901893763,-260189.8901893763,260189.8901893763,4.455306338859184,severe
-114.59,34.83,41.0,812.0,,375.0,158.0,1.7083,,48500.0,404220.516933538,-355720.516933538,355720.516933538,7.334443648114186,severe
-122.23,38.17,45.0,350.0,,225.0,72.0,1.8942,,216700.0,453516.53358039085,-236816.53358039085,236816.53358039085,1.092831257869824,severe
-117.31,34.25,29.0,4610.0,,1569.0,592.0,2.7663,,97900.0,452822.21791811706,-354922.21791811706,354922.21791811706,3.6253546263341887,severe
-119.72,36.76,23.0,6403.0,,3573.0,1260.0,2.3006,,69000.0,346914.57822700636,-277914.57822700636,277914.57822700636,4.027747510536324,severe
-121.75,37.11,18.0,3167.0,,1414.0,482.0,6.8773,,467700.0,343592.75932796224,124107.24067203776,124107.24067203776,0.2653565120206067,high
-117.02,32.78,31.0,2567.0,,1198.0,499.0,3.4659,,163000.0,380274.2918076222,-217274.29180762218,217274.29180762218,1.3329711153841852,severe
-119.69,36.83,32.0,1098.0,,726.0,224.0,1.4913,,54600.0,344982.32158102945,-290382.32158102945,290382.32158102945,5.318357538114093,severe
-118.25,33.94,43.0,793.0,,736.0,231.0,0.8527,,90400.0,428032.9269923201,-337632.9269923201,337632.9269923201,3.7348775109769923,severe
-117.97,34.06,31.0,2516.0,,2194.0,497.0,3.2413,,155500.0,463374.7009648046,-307874.7009648046,307874.7009648046,1.979901613921573,severe
-118.3,34.07,18.0,3759.0,,3296.0,1462.0,2.2708,,175000.0,537921.3901778515,-362921.39017785154,362921.39017785154,2.0738365153020086,severe
-118.35,34.01,35.0,3776.0,,1583.0,749.0,3.5486,,332100.0,431042.36239333864,-98942.36239333864,98942.36239333864,0.2979294260564247,high
-118.2,33.92,45.0,1283.0,,1025.0,248.0,3.2798,,141200.0,405322.39173774776,-264122.39173774776,264122.39173774776,1.8705551822786668,severe
-122.24,37.75,45.0,891.0,,384.0,146.0,4.9489,,247100.0,319624.579204302,-72524.57920430199,72524.57920430199,0.2935029510493808,high
-117.99,34.14,30.0,2346.0,,1988.0,474.0,2.5625,,153000.0,529257.8625337377,-376257.8625337377,376257.8625337377,2.459201715906782,severe
-118.22,34.05,34.0,1113.0,,928.0,290.0,3.1654,,155000.0,429058.7016268629,-274058.7016268629,274058.7016268629,1.7681206556571802,severe
-121.19,38.71,11.0,4415.0,,1520.0,627.0,3.2321,,390800.0,319542.94488822104,71257.05511177896,71257.05511177896,0.1823363743904272,high
-119.32,36.25,21.0,1231.0,,609.0,206.0,2.8365,,90000.0,297655.0668958563,-207655.0668958563,207655.0668958563,2.30727852106507,severe
-118.56,34.2,35.0,2273.0,,1431.0,403.0,4.0789,,196700.0,393996.1077102286,-197296.1077102286,197296.1077102286,1.003030542502433,severe
-116.21,33.75,22.0,894.0,,830.0,202.0,3.0673,,68200.0,376124.6470827126,-307924.6470827126,307924.6470827126,4.515024150772912,severe
-118.23,33.94,36.0,1110.0,,1417.0,302.0,2.3333,,92100.0,468206.60750284547,-376106.60750284547,376106.60750284547,4.083676520117757,severe
-122.48,37.7,33.0,4492.0,,3477.0,1537.0,3.0546,,297900.0,485771.151275231,-187871.15127523098,187871.15127523098,0.6306517330487781,severe
-118.45,34.3,27.0,2676.0,,2661.0,623.0,4.3047,,152100.0,269917.95202776196,-117817.95202776196,117817.95202776196,0.7746084945940958,high
-122.46,37.72,39.0,2254.0,,1388.0,404.0,2.9688,,232000.0,484791.9425491268,-252791.9425491268,252791.9425491268,1.0896204420220983,severe
-120.98,37.66,10.0,934.0,,401.0,255.0,0.9336,,127100.0,372543.0492861888,-245443.0492861888,245443.0492861888,1.9311018826608088,severe
-118.36,33.89,34.0,760.0,174.0,723.0,198.0,5.3169,,227600.0,318424.8747391454,-90824.8747391454,90824.8747391454,0.3990548099259464,high
-118.15,34.15,49.0,806.0,199.0,698.0,172.0,2.3654,,137500.0,210588.2576937123,-73088.25769371231,73088.25769371231,0.5315509650451804,high
-122.07,37.39,30.0,1695.0,480.0,932.0,447.0,3.5045,,352500.0,271283.3878263607,81216.6121736393,81216.6121736393,0.2304017366628065,high
-122.7,38.35,14.0,1555.0,369.0,493.0,335.0,1.6033,,67500.0,167077.80936722644,-99577.80936722644,99577.80936722644,1.4752268054403916,high
-121.7,38.65,22.0,1360.0,282.0,808.0,229.0,2.4167,,225000.0,119143.18061344176,105856.81938655824,105856.81938655824,0.47047475282914775,high
-118.39,34.05,42.0,3105.0,559.0,1253.0,531.0,5.222,,500001.0,418544.8665363861,81456.13346361392,81456.13346361392,0.16291194110334564,high
-118.09,33.77,26.0,5359.0,1508.0,1829.0,1393.0,1.7675,,61300.0,142809.08519550046,-81509.08519550046,81509.08519550046,1.3296751255383437,high
-119.08,34.17,32.0,166.0,22.0,63.0,29.0,7.3004,,125000.0,417145.4549876979,-292145.4549876979,292145.4549876979,2.337163639901583,severe
-122.0,37.4,35.0,1542.0,298.0,1164.0,318.0,5.9145,,236900.0,309762.75441638014,-72862.75441638014,72862.75441638014,0.3075675576883923,high
-118.15,33.76,36.0,2916.0,785.0,1183.0,749.0,3.5985,,500001.0,289713.63651825953,210287.36348174047,210287.36348174047,0.4205738858157093,severe
-122.26,38.36,25.0,1821.0,344.0,349.0,179.0,6.9931,,398800.0,290238.1430753106,108561.85692468937,108561.85692468937,0.2722213062304147,high
-119.3,34.39,35.0,3079.0,579.0,1807.0,589.0,4.69,,199300.0,306900.69322139496,-107600.69322139496,107600.69322139496,0.5398930919287254,high
-122.06,37.64,20.0,1655.0,450.0,857.0,430.0,3.5541,,350000.0,209288.2600911311,140711.7399088689,140711.7399088689,0.4020335425967683,severe
-118.37,33.96,26.0,138.0,23.0,100.0,20.0,4.875,,175000.0,315768.1821960266,-140768.1821960266,140768.1821960266,0.8043896125487234,severe
-117.2,32.77,30.0,156.0,45.0,77.0,40.0,3.2679,,137500.0,219852.92611126648,-82352.92611126648,82352.92611126648,0.5989303717183017,high
-121.89,36.59,32.0,784.0,112.0,262.0,114.0,6.918,,500001.0,426048.74454028194,73952.25545971806,73952.25545971806,0.1479042151110059,high
