lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,pgout,ppgout,pgfree,pgscan,atch,pgin,ppgin,pflt,vflt,runqsz,freemem,freeswap,actual,predicted,residual,abs_error,severity
9.0,0.0,3034.0,446.0,397.0,8.2,2.2,210022.0,18396.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,385.4,557.6,1.4,1532.0,1747277.0,80.0,77.21289988698368,2.787100113016322,2.787100113016322,high
7.0,0.0,1837.0,262.0,219.0,4.39,1.2,193979.0,41064.0,0.0,0.0,0.0,0.0,0.0,2.2,2.79,218.56,319.16,2.4,1042.0,1741938.0,79.0,85.1894908499573,-6.189490849957295,6.189490849957295,severe
15.0,13.0,2212.0,142.0,83.0,0.4,0.4,84255.0,17588.0,0.0,0.0,0.0,0.0,2.2,18.2,18.2,139.0,199.2,3.6,7493.0,1370760.0,92.0,87.628435621238,4.371564378762002,4.371564378762002,high
5.0,0.0,4901.0,508.0,330.0,2.0,0.6,165967.0,155044.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,96.6,146.4,2.8,2560.0,1646453.0,87.0,83.90441852104658,3.09558147895342,3.09558147895342,high
2.0,1.0,3996.0,323.0,133.0,0.4,0.8,1352240.0,156247.0,0.0,0.0,0.0,0.0,0.2,5.6,6.6,41.4,108.0,1.7,392.0,985278.0,85.0,87.64596782404755,-2.6459678240475455,2.6459678240475455,high
14.0,2.0,4725.0,247.0,161.0,10.62,33.87,464922.0,45701.0,1.2,1.4,1.4,0.0,0.8,5.41,5.81,349.3,719.64,1.0,174.0,1090443.0,58.0,62.50274482106414,-4.502744821064141,4.502744821064141,high
21.0,2.0,3681.0,466.0,391.0,8.17,2.99,209980.0,21093.0,18.92,48.01,164.54,826.29,1.0,2.39,2.59,407.37,884.06,2.8,156.0,958183.0,70.0,64.84644944869943,5.153550551300569,5.153550551300569,high
23.0,20.0,3695.0,344.0,198.0,1.2,3.99,276192.0,97365.0,18.76,25.35,25.35,0.0,14.17,10.58,16.37,109.18,192.22,4.4,211.0,1007005.0,80.0,83.51078148040445,-3.5107814804044466,3.5107814804044466,high
88.0,47.0,3382.0,347.0,220.0,7.39,18.56,360144.0,142694.0,0.0,0.0,0.0,0.0,0.2,15.57,24.95,343.11,576.45,1.0,497.0,1102534.0,67.0,69.89308562366283,-2.8930856236628273,2.8930856236628273,high
17.0,8.0,6310.0,1037.0,986.0,7.98,14.77,815153.0,733885.0,1.8,6.99,36.53,76.45,1.8,8.78,11.58,319.56,543.71,1.5,352.0,1091404.0,60.0,66.12913779342097,-6.129137793420966,6.129137793420966,severe
24.0,19.0,1059.0,67.0,56.0,3.79,4.19,72920.0,34992.0,0.0,0.0,0.0,0.0,0.0,4.59,6.99,231.14,481.04,3.2,635.0,1019530.0,84.0,81.17405580725477,2.825944192745226,2.825944192745226,high
230.0,227.0,5281.0,472.0,439.0,0.4,1.8,556076.0,308309.0,0.0,0.0,0.0,0.0,0.0,12.6,35.0,20.0,66.8,5.0,1135.0,1334136.0,82.0,84.80039450774788,-2.800394507747882,2.800394507747882,high
25.0,8.0,4151.0,261.0,160.0,2.79,4.39,386314.0,30764.0,6.79,17.56,61.48,136.33,2.4,43.51,95.21,210.98,498.8,1.5,257.0,1017281.0,67.0,73.29112387807754,-6.291123878077542,6.291123878077542,severe
8.0,2.0,3488.0,273.0,134.0,6.0,5.0,101956.0,53951.0,0.0,0.0,0.0,0.0,0.0,6.8,10.6,246.6,430.4,1.8,427.0,1008350.0,81.0,77.74989068350895,3.2501093164910486,3.2501093164910486,high
0.0,0.0,458.0,63.0,15.0,0.4,0.4,107375.0,3819.0,0.0,0.0,0.0,0.0,0.0,7.78,15.57,33.73,74.25,1.6,7307.0,1861728.0,96.0,93.33171054487627,2.668289455123727,2.668289455123727,high
3.0,1.0,714.0,34.0,15.0,2.61,2.81,70079.0,17335.0,0.0,0.0,0.0,0.0,0.0,2.0,3.41,206.21,210.22,1.0,11420.0,1884933.0,90.0,87.35174282977754,2.6482571702224647,2.6482571702224647,high
29.0,30.0,2678.0,222.0,206.0,6.2,2.4,141104.0,28803.0,0.0,0.0,0.0,0.0,0.0,13.8,14.2,279.2,465.0,3.2,814.0,1719293.0,81.0,77.46071734399857,3.5392826560014328,3.5392826560014328,high
20.0,13.0,3365.0,234.0,156.0,1.8,1.6,377760.0,208093.0,0.8,7.4,20.6,36.0,0.2,50.8,51.2,130.6,330.0,6.8,374.0,1304400.0,82.0,78.5079651452238,3.4920348547761932,3.4920348547761932,high
11.0,1.0,1562.0,193.0,68.0,1.8,2.6,241653.0,145933.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,153.4,209.4,4.6,2542.0,1574757.0,92.0,88.10404060827332,3.8959593917266773,3.8959593917266773,high
94.0,49.0,5163.0,410.0,292.0,7.2,17.4,254820.0,153663.0,2.8,6.2,6.0,0.0,1.8,16.0,20.2,319.8,584.4,1.0,541.0,1101859.0,62.0,67.72464024435891,-5.724640244358909,5.724640244358909,severe
37.0,4.0,3499.0,388.0,117.0,4.19,5.99,288035.0,14367.0,0.0,0.0,0.0,0.0,0.0,19.76,34.93,289.62,526.95,4.2,766.0,1305325.0,80.0,74.95925822190532,5.040741778094684,5.040741778094684,high
0.0,0.0,3231.0,112.0,98.0,0.2,0.2,33505.0,22795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,17.2,1.8,427.0,1754056.0,88.0,90.77933243833058,-2.7793324383305844,2.7793324383305844,high
2.0,0.0,3214.0,171.0,126.0,0.4,0.2,209570.0,16714.0,4.19,6.19,23.95,47.9,0.4,0.6,0.8,20.56,30.54,2.2,259.0,1753694.0,86.0,89.72397901474716,-3.723979014747158,3.723979014747158,high
8.0,0.0,5699.0,646.0,508.0,7.6,2.0,409346.0,37592.0,2.8,7.8,15.4,17.8,9.2,16.0,24.6,375.4,621.2,1.4,191.0,1006571.0,72.0,65.67251064154715,6.327489358452851,6.327489358452851,severe
16.0,11.0,7188.0,496.0,378.0,4.6,10.8,219020.0,80489.0,1.2,2.2,1.8,0.0,0.8,8.4,12.4,243.0,611.6,2.8,345.0,1001160.0,76.0,66.99054249655333,9.009457503446669,9.009457503446669,severe
3.0,0.0,2271.0,199.0,284.0,0.6,0.6,189869.0,199051.0,7.0,18.8,32.0,53.0,0.0,7.2,9.0,46.2,93.0,3.2,294.0,1047448.0,86.0,89.01037052631864,-3.0103705263186384,3.0103705263186384,high
3.0,1.0,2424.0,149.0,161.0,1.6,2.2,204632.0,239445.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,145.8,253.0,2.4,8289.0,1877581.0,84.0,87.66142193641525,-3.661421936415252,3.661421936415252,high
1.0,1.0,1242.0,279.0,120.0,0.2,0.2,356664.0,349244.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,15.4,27.0,2.8,1934.0,1759984.0,95.0,92.3573095750664,2.6426904249336047,2.6426904249336047,high
18.0,12.0,3208.0,298.0,153.0,3.79,4.19,136968.0,171740.0,11.78,34.33,79.84,134.53,2.0,20.76,23.15,312.97,416.17,1.8,122.0,969851.0,81.0,77.79190626894487,3.208093731055129,3.208093731055129,high
2.0,1.0,3272.0,245.0,259.0,0.2,0.2,4942.0,18681.0,1.2,1.2,1.2,0.0,0.6,0.8,0.8,24.15,43.91,1.5,221.0,1021681.0,92.0,89.04727464355176,2.9527253564482407,2.9527253564482407,high
11.0,0.0,1887.0,160.0,216.0,7.0,20.2,58535.0,203177.0,2.6,29.8,38.8,76.0,0.6,15.4,18.4,296.4,520.6,1.0,220.0,1106189.0,73.0,75.72135885974045,-2.721358859740448,2.721358859740448,high
1.0,0.0,1190.0,59.0,62.0,0.2,0.2,132309.0,105665.0,6.8,22.8,35.8,77.0,0.0,7.2,13.4,51.8,47.6,2.8,366.0,1513949.0,81.0,94.25786333312914,-13.257863333129137,13.257863333129137,severe
0.0,0.0,261.0,20.0,14.0,0.2,0.2,810.0,5665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,16.8,2.0,504.0,1747160.0,93.0,95.94417488666984,-2.944174886669842,2.944174886669842,high
8.0,5.0,2735.0,341.0,201.0,1.8,4.6,248991.0,30043.0,0.0,0.0,0.0,0.0,0.2,1.4,1.6,135.4,232.0,2.2,1094.0,1130794.0,83.0,86.17018569239657,-3.170185692396572,3.170185692396572,high
17.0,0.0,2620.0,188.0,117.0,6.61,19.64,191548.0,31831.0,4.21,15.43,33.67,44.69,0.0,18.44,26.65,255.51,508.82,1.6,149.0,1085324.0,76.0,73.35987949245039,2.640120507549611,2.640120507549611,high
1486.0,1.0,7266.0,157.0,192.0,1.6,1.0,98595.0,73892.0,0.0,0.0,0.0,0.0,1.2,6.8,12.8,91.8,176.6,2.8,2451.0,1712099.0,64.0,83.64898657442936,-19.648986574429358,19.648986574429358,severe
9.0,2.0,1532.0,179.0,143.0,7.2,5.4,419570.0,11651.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,289.0,476.6,2.0,3216.0,1846592.0,85.0,80.71551535545268,4.2844846445473195,4.2844846445473195,high
4.0,2.0,2550.0,328.0,203.0,0.4,0.4,10001.0,104087.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,34.0,109.2,2.3,338.0,1069949.0,93.0,89.02588775448645,3.9741122455135525,3.9741122455135525,high
18.0,1.0,4378.0,189.0,150.0,5.0,4.8,640892.0,100275.0,0.0,0.0,0.0,0.0,0.0,5.8,6.2,182.6,330.8,3.8,2809.0,1637317.0,86.0,79.82636714538543,6.173632854614567,6.173632854614567,severe
12.0,3.0,1719.0,144.0,87.0,1.6,1.6,322715.0,290977.0,0.0,0.0,0.0,0.0,0.0,2.99,5.79,90.02,163.27,4.2,2375.0,1560085.0,92.0,89.39898884976265,2.6010111502373547,2.6010111502373547,high
25.0,6.0,4636.0,705.0,485.0,6.6,2.2,467038.0,275586.0,3.6,5.2,5.0,0.0,4.4,4.8,7.6,340.0,489.0,5.8,326.0,1546581.0,66.0,73.70243451253023,-7.702434512530232,7.702434512530232,severe
4.0,1.0,4200.0,192.0,155.0,2.99,10.58,51812.0,35074.0,0.0,0.0,0.0,0.0,0.2,3.19,4.19,172.06,238.52,1.2,561.0,1093779.0,84.0,80.88796593667603,3.112034063323975,3.112034063323975,high
10.0,4.0,4382.0,400.0,191.0,5.0,6.4,298795.0,250019.0,4.4,17.2,36.8,106.0,0.2,16.0,18.2,567.2,534.0,1.0,153.0,1122323.0,71.0,73.83909000555242,-2.8390900055524213,2.8390900055524213,high
11.0,0.0,2113.0,134.0,90.0,5.8,14.6,1040960.0,40672.0,3.6,48.0,141.2,429.6,0.0,16.4,21.2,245.2,704.2,2.4,395.0,1084862.0,72.0,68.45225765462605,3.5477423453739476,3.5477423453739476,high
5.0,2.0,3416.0,154.0,75.0,0.8,4.6,525401.0,62664.0,1.6,8.8,27.4,49.8,0.8,2.8,4.0,41.0,98.6,2.8,164.0,1087301.0,84.0,89.47438316498607,-5.474383164986065,5.474383164986065,severe
26.0,6.0,7952.0,555.0,470.0,9.2,8.8,417622.0,41813.0,4.4,4.8,4.8,0.0,5.8,1.8,2.2,513.2,714.0,6.4,259.0,1331227.0,60.0,64.52641561421324,-4.526415614213235,4.526415614213235,high
2.0,1.0,4502.0,256.0,169.0,0.2,0.2,191500.0,262830.0,0.4,0.8,0.4,0.0,0.0,12.6,14.8,16.0,104.0,4.6,1673.0,1000469.0,84.0,87.48011118513465,-3.4801111851346462,3.4801111851346462,high
45.0,25.0,6154.0,191.0,161.0,3.39,10.38,153242.0,463723.0,39.12,73.05,73.05,0.0,5.79,4.39,15.57,302.2,358.48,6.2,233.0,1521515.0,69.0,71.93363899109634,-2.9336389910963447,2.9336389910963447,high
54.0,21.0,3709.0,243.0,140.0,4.6,5.4,265286.0,116407.0,0.0,0.0,0.0,0.0,0.0,4.2,6.4,285.6,428.4,5.6,2836.0,1565138.0,82.0,78.87948230814584,3.120517691854161,3.120517691854161,high
66.0,27.0,5275.0,461.0,324.0,6.96,9.15,373711.0,142975.0,12.33,39.36,64.61,133.6,3.58,19.28,27.24,423.46,643.14,2.2,227.0,1284924.0,74.0,65.69755334254185,8.302446657458148,8.302446657458148,severe
12.0,1.0,5169.0,561.0,498.0,8.4,6.4,308532.0,189057.0,0.0,0.0,0.0,0.0,4.0,2.2,2.8,405.4,644.4,2.0,643.0,1013078.0,72.0,68.62186459094117,3.378135409058828,3.378135409058828,high
64.0,71.0,5534.0,657.0,234.0,5.41,5.41,161992.0,51093.0,4.81,7.62,7.62,0.0,1.0,1.4,1.4,234.87,426.25,1.2,290.0,1008295.0,77.0,73.82895059479107,3.171049405208933,3.171049405208933,high
7.0,0.0,5439.0,461.0,417.0,7.2,3.8,340924.0,225976.0,43.6,85.2,74.8,0.0,0.0,19.0,37.2,343.4,547.4,3.6,614.0,1391837.0,65.0,68.7697009788796,-3.769700978879598,3.769700978879598,high
3.0,2.0,3163.0,216.0,115.0,0.2,0.2,52430.0,54479.0,0.0,0.0,0.0,0.0,0.0,1.6,2.2,17.6,18.6,2.2,1400.0,1754115.0,86.0,91.4490948872383,-5.449094887238303,5.449094887238303,severe
21.0,24.0,371.0,23.0,34.0,0.8,0.8,33625.0,42048.0,0.0,0.0,0.0,0.0,0.0,5.38,6.18,47.01,79.48,1.0,1957.0,1766228.0,88.0,93.32765508005944,-5.3276550800594435,5.3276550800594435,severe
1.0,0.0,1338.0,77.0,75.0,0.6,3.4,86591.0,15400.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,23.2,30.8,2.2,3308.0,1709498.0,98.0,95.02547177191836,2.9745282280816383,2.9745282280816383,high
6.0,3.0,4453.0,294.0,224.0,2.6,0.8,92293.0,49961.0,0.2,0.2,0.2,0.0,1.2,15.0,15.0,129.8,254.4,2.2,368.0,1016914.0,86.0,81.32515096672155,4.6748490332784485,4.6748490332784485,high
2.0,1.0,2905.0,80.0,80.0,0.2,0.2,3086.0,4895.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,20.96,20.36,2.0,619.0,1443205.0,98.0,93.61080426934001,4.389195730659992,4.389195730659992,high
193.0,213.0,4585.0,385.0,330.0,0.6,0.6,561341.0,494475.0,0.0,0.0,0.0,0.0,0.0,36.33,70.66,43.91,181.84,2.0,1041.0,1018917.0,72.0,78.55123191562912,-6.551231915629117,6.551231915629117,severe
3.0,0.0,652.0,28.0,18.0,2.4,2.6,66019.0,31317.0,0.0,0.0,0.0,0.0,0.0,4.0,7.2,208.2,206.4,1.0,8885.0,1871976.0,91.0,87.36005366995933,3.6399463300406723,3.6399463300406723,high
27.0,18.0,3714.0,220.0,99.0,2.8,7.0,460247.0,29730.0,2.0,17.6,44.0,96.2,0.0,50.8,84.8,175.8,274.2,3.7,265.0,1021035.0,80.0,74.51786816097845,5.482131839021548,5.482131839021548,severe
1.0,0.0,4123.0,257.0,213.0,0.2,1.0,607636.0,329374.0,11.98,23.95,23.95,0.0,0.0,2.79,2.99,31.74,78.84,5.2,311.0,1003229.0,81.0,86.01282120186157,-5.01282120186157,5.01282120186157,high
3.0,1.0,544.0,92.0,73.0,1.8,1.8,247617.0,175885.0,0.0,0.0,0.0,0.0,0.0,6.8,11.0,161.2,147.4,2.0,3549.0,1822469.0,88.0,84.85268254831902,3.1473174516809763,3.1473174516809763,high
1.0,0.0,2634.0,255.0,127.0,1.0,3.6,174672.0,33215.0,0.2,0.2,0.2,0.0,0.0,0.4,0.4,121.6,141.0,1.4,415.0,1093984.0,86.0,88.88512035990415,-2.8851203599041497,2.8851203599041497,high
1.0,0.0,1552.0,104.0,135.0,0.2,0.2,9644.0,30750.0,0.4,0.4,0.4,0.0,0.2,4.6,5.4,14.4,31.0,1.0,190.0,1046680.0,96.0,92.93061451087327,3.0693854891267307,3.0693854891267307,high
10.0,6.0,3269.0,216.0,143.0,2.6,7.0,60686.0,42719.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,208.8,242.0,2.4,647.0,1536179.0,81.0,84.0544957750375,-3.054495775037495,3.054495775037495,high
8.0,1.0,4687.0,478.0,212.0,1.2,1.4,248995.0,24777.0,0.0,0.0,0.0,0.0,0.6,9.6,11.8,96.6,252.2,3.0,1197.0,1470019.0,87.0,80.91689002975097,6.083109970249026,6.083109970249026,severe
21.0,14.0,4435.0,375.0,232.0,7.6,18.2,141324.0,38980.0,0.0,0.0,0.0,0.0,0.0,6.8,9.2,305.8,538.0,1.0,687.0,1097723.0,67.0,69.59771565825243,-2.597715658252426,2.597715658252426,high
42.0,54.0,3844.0,490.0,336.0,4.98,2.79,380591.0,28167.0,0.4,0.4,15.34,59.96,4.98,6.97,10.16,304.58,518.92,2.2,151.0,998441.0,78.0,75.29283478488591,2.707165215114088,2.707165215114088,high
6.0,0.0,1455.0,200.0,188.0,4.2,1.2,131063.0,51130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.4,284.0,2.2,2103.0,1768179.0,81.0,87.14490366432723,-6.144903664327231,6.144903664327231,severe
11.0,1.0,3310.0,334.0,243.0,3.61,2.0,86931.0,55259.0,0.2,0.2,0.2,0.0,0.0,7.82,8.22,187.78,314.03,1.0,241.0,1059974.0,85.0,81.18846303288076,3.8115369671192383,3.8115369671192383,high
1.0,0.0,3108.0,216.0,127.0,0.2,0.2,298303.0,209120.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,15.4,32.0,3.2,3341.0,1345885.0,96.0,92.9489034294388,3.0510965705611994,3.0510965705611994,high
0.0,0.0,1181.0,67.0,66.0,0.2,0.2,39602.0,77617.0,11.2,17.0,17.0,0.0,1.8,5.0,9.0,17.8,33.6,1.8,306.0,1118776.0,91.0,94.74926718075987,-3.7492671807598725,3.7492671807598725,high
10.0,0.0,1687.0,277.0,236.0,5.0,1.6,133461.0,7138.0,0.0,0.0,0.0,0.0,0.0,11.6,11.6,239.4,354.4,2.0,6313.0,1723896.0,88.0,83.67889791348996,4.321102086510038,4.321102086510038,high
3.0,1.0,1982.0,107.0,101.0,0.6,0.6,50974.0,60735.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,87.6,55.8,2.2,1597.0,1548389.0,96.0,93.01643880506208,2.98356119493792,2.98356119493792,high
33.0,17.0,3814.0,345.0,205.0,2.8,4.8,126811.0,66231.0,0.0,0.0,0.0,0.0,0.0,14.8,14.8,168.8,402.2,3.6,7378.0,1389501.0,83.0,79.19618511349724,3.8038148865027637,3.8038148865027637,high
18.0,5.0,7786.0,298.0,228.0,1.6,3.6,123860.0,36841.0,5.0,5.2,5.2,0.0,4.6,8.6,8.8,155.2,171.8,3.2,211.0,1447189.0,75.0,78.73724061457612,-3.737240614576123,3.737240614576123,high
3.0,2.0,2069.0,103.0,78.0,0.8,1.0,82489.0,18122.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6,59.6,73.0,3.0,510.0,1757989.0,83.0,90.36411801136124,-7.364118011361242,7.364118011361242,severe
10.0,3.0,5252.0,392.0,248.0,5.2,4.8,163743.0,100347.0,0.0,0.0,0.0,0.0,0.2,22.4,24.4,283.6,667.2,1.0,856.0,990546.0,73.0,66.67394375060468,6.326056249395322,6.326056249395322,severe
2.0,0.0,1757.0,134.0,72.0,0.4,0.4,300196.0,53888.0,16.63,45.49,51.5,39.28,1.2,16.03,30.86,46.09,100.4,1.0,383.0,1053752.0,87.0,90.61960067299431,-3.6196006729943093,3.6196006729943093,high
23.0,12.0,4276.0,426.0,330.0,4.6,1.8,295347.0,108678.0,0.0,0.0,0.0,0.0,0.0,4.4,4.6,225.2,350.2,7.4,2985.0,1338730.0,82.0,79.27328453739595,2.726715462604048,2.726715462604048,high
4.0,0.0,2176.0,371.0,139.0,0.6,0.8,655593.0,48384.0,0.8,1.4,1.4,0.0,4.41,23.65,24.65,61.92,116.23,1.8,571.0,1063064.0,91.0,88.29203154537933,2.7079684546206693,2.7079684546206693,high
1.0,0.0,3357.0,137.0,71.0,0.8,0.8,34964.0,24901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,84.6,2.0,1489.0,1755176.0,87.0,89.99123945551834,-2.9912394555183397,2.9912394555183397,high
7.0,0.0,2635.0,588.0,572.0,0.6,2.2,647485.0,572968.0,10.18,33.33,63.07,79.44,3.19,21.36,86.43,50.3,75.85,1.0,169.0,1047085.0,80.0,83.76185694756602,-3.7618569475660166,3.7618569475660166,high
17.0,4.0,3763.0,194.0,78.0,2.4,3.0,225802.0,155227.0,0.0,0.0,0.0,0.0,0.0,9.0,10.8,205.0,298.2,4.6,2488.0,1551186.0,86.0,81.55870578017112,4.441294219828876,4.441294219828876,high
1.0,0.0,214.0,30.0,32.0,0.2,0.2,2422.0,6393.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,17.37,20.96,2.0,489.0,1738949.0,93.0,95.9673461994051,-2.9673461994050996,2.9673461994050996,high
3.0,0.0,2408.0,121.0,55.0,2.6,6.6,346759.0,261168.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,173.8,234.8,3.2,4697.0,1828213.0,91.0,87.29827191253558,3.701728087464417,3.701728087464417,high
0.0,0.0,2061.0,150.0,104.0,0.2,0.2,48089.0,87253.0,0.0,0.0,0.0,0.0,0.0,2.0,3.2,13.8,24.0,2.6,722.0,1769267.0,86.0,89.59289346801552,-3.592893468015518,3.592893468015518,high
18.0,12.0,2385.0,334.0,124.0,5.8,16.0,928637.0,33286.0,0.0,0.0,0.0,0.0,0.0,7.2,9.2,206.6,399.0,2.8,672.0,1097338.0,80.0,77.0408051863768,2.959194813623199,2.959194813623199,high
5.0,1.0,6795.0,310.0,214.0,2.2,7.41,180947.0,182196.0,0.0,0.0,0.0,0.0,0.0,8.62,11.62,117.23,202.81,1.7,639.0,993645.0,81.0,78.2622876047856,2.737712395214402,2.737712395214402,high
22.0,13.0,3581.0,211.0,134.0,1.0,1.2,312204.0,31194.0,0.0,0.0,0.0,0.0,1.2,4.4,5.4,90.6,164.8,4.2,871.0,1529306.0,90.0,86.49350052663573,3.506499473364272,3.506499473364272,high
1.0,0.0,523.0,98.0,51.0,0.2,0.2,470059.0,21536.0,12.6,88.4,231.2,449.0,0.0,50.8,101.0,18.6,241.6,3.4,174.0,1750059.0,78.0,82.99278715220613,-4.992787152206134,4.992787152206134,high
27.0,37.0,1887.0,182.0,172.0,0.2,0.2,172511.0,144573.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,15.57,45.31,2.2,850.0,1765946.0,84.0,90.37987440677594,-6.37987440677594,6.37987440677594,severe
553.0,0.0,4259.0,189.0,136.0,2.4,2.6,376809.0,34697.0,12.8,154.8,523.0,1237.0,0.0,12.4,49.2,162.0,738.6,7.0,119.0,1319936.0,70.0,67.19614336126834,2.8038566387316592,2.8038566387316592,high
8.0,0.0,3360.0,194.0,111.0,0.4,0.2,223067.0,128505.0,0.0,0.0,0.0,0.0,0.0,26.0,30.0,32.2,175.4,3.6,3731.0,1342350.0,93.0,86.43432168506027,6.565678314939731,6.565678314939731,severe
12.0,2.0,621.0,98.0,44.0,0.4,0.4,399046.0,11578.0,1.4,5.0,12.8,26.4,0.4,1.0,1.0,35.4,48.2,3.2,273.0,1736120.0,90.0,94.71709346193228,-4.717093461932279,4.717093461932279,high
11.0,3.0,2515.0,215.0,140.0,1.4,2.8,328668.0,20783.0,0.0,0.0,0.0,0.0,0.4,2.2,5.4,85.4,230.2,4.2,1027.0,1122035.0,83.0,86.79010696391322,-3.7901069639132174,3.7901069639132174,high
70.0,83.0,2171.0,247.0,138.0,1.4,9.58,299118.0,152053.0,5.79,19.76,28.94,54.49,1.8,7.39,13.97,226.35,287.03,9.0,347.0,1318009.0,79.0,84.09178362010942,-5.091783620109425,5.091783620109425,high
3.0,1.0,432.0,79.0,75.0,0.2,0.2,3966.0,18602.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,18.8,25.6,2.4,6355.0,1701950.0,93.0,95.65969304492066,-2.659693044920658,2.659693044920658,high
19.0,17.0,1792.0,111.0,152.0,1.0,1.0,281818.0,65470.0,0.0,0.0,0.0,0.0,0.0,12.02,19.64,86.77,133.87,1.5,1183.0,1007947.0,92.0,89.02483069662925,2.9751693033707483,2.9751693033707483,high
16.0,14.0,1363.0,121.0,82.0,0.8,0.6,321356.0,183286.0,0.0,0.0,0.0,0.0,0.6,0.4,0.4,71.2,58.0,3.2,753.0,1511563.0,87.0,93.12888612978007,-6.128886129780071,6.128886129780071,severe
